Reviews,Sentiments
"pipe dream does have its charms . the leads are natural and lovely , the pace is serene , the humor wry and sprightly . ",pos
"presents nothing special and , until the final act , nothing overtly disagreeable . ",neg
"it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you . ",pos
"a stirring tribute to the bravery and dedication of the world's reporters who willingly walk into the nightmare of war not only to record the events for posterity , but to help us clearly see the world of our making . ",pos
"nothing's at stake , just a twisty double-cross you can smell a mile away--still , the derivative nine queens is lots of fun . ",pos
"a delightful little film that revels in its own simplicity , mostly martha will leave you with a smile on your face and a grumble in your stomach . ",pos
"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves . ",neg
one groan-inducing familiarity begets another . ,neg
"a meatier deeper beginning and/or ending would have easily tipped this film into the "" a "" range , as is , it's a very very strong "" b+ . "" i love the robust middle of this picture . ",pos
the dark and bittersweet twist feels strange as things turn nasty and tragic during the final third of the film . first-timer john mckay is never able to pull it back on course . ,neg
"it could change america , not only because it is full of necessary discussion points , but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment . ",pos
"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images . ",pos
a mawkish self-parody that plays like some weird masterpiece theater sketch with neither a point of view nor a compelling reason for being . ,neg
"displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential . ",pos
"it's excessively quirky and a little underconfident in its delivery , but otherwise this is the best 'old neighborhood' project since christopher walken kinda romanced cyndi lauper in the opportunists . ",pos
" . . . ice age treads predictably along familiar territory , making it a passable family film that won't win many fans over the age of 12 . ",neg
"a vivid , sometimes surreal , glimpse into the mysteries of human behavior . ",pos
"this miserable excuse of a movie runs on empty , believing flatbush machismo will get it through . ",neg
it's such a mechanical endeavor [that] it never bothers to question why somebody might devote time to see it . ,neg
the smartest bonehead comedy of the summer . ,pos
swiftly deteriorates into a terribly obvious melodrama and rough-hewn vanity project for lead actress andie macdowell . ,neg
"austin powers for the most part is extremely funny , the first part making up for any flaws that come later . ",pos
they kept much of the plot but jettisoned the stuff that would make this a moving experience for people who haven't read the book . ,neg
"those who love cinema paradiso will find the new scenes interesting , but few will find the movie improved . ",pos
"while centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel . ",pos
"filmmakers dana janklowicz-mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world's democracie",pos
"seeing seinfeld at home as he watches his own appearance on letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but . ",pos
" . . . the film falls back on the same old formula of teen sex , outrageous pranks and scenes designed to push the envelope of bad taste for laughs . ",neg
julia is played with exasperating blandness by laura regan . ,neg
an unflinching look at the world's dispossessed . ,pos
[at least] moore is a real charmer . ,neg
"sunshine state surveys the landscape and assesses the issues with a clear passion for sociology . but the cinematography is cloudy , the picture making becalmed . ",neg
boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome . ,neg
the 1960s rebellion was misdirected : you can't fight your culture . ,pos
so devoid of pleasure or sensuality that it cannot even be dubbed hedonistic . ,neg
good ol' urban legend stuff . ,pos
barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull . ,neg
with spy kids 2 : the island of lost dreams writer/director/producer robert rodriguez has cobbled together a film that feels like a sugar high gone awry . ,neg
"thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods . ",pos
a film with a great premise but only a great premise . ,neg
"philip k . dick must be turning in his grave , along with my stomach . ",neg
robinson's web of suspense matches the page-turning frenzy that clancy creates . ,pos
"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ",pos
"a touching , small-scale story of family responsibility and care in the community . ",pos
reveals how important our special talents can be when put in service of of others . it also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them . ,pos
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length . ",pos
the only thing in pauline and paulette that you haven't seen before is a scene featuring a football field-sized oriental rug crafted out of millions of vibrant flowers . ,neg
"murder by numbers' isn't a great movie , but it's a perfectly acceptable widget . ",pos
"it's as sorry a mess as its director's diabolical debut , mad cows . ",neg
"as directed by dani kouyate of burkina faso , sia lacks visual flair . but kouyate elicits strong performances from his cast , and he delivers a powerful commentary on how governments lie , no matter who runs them . ",pos
"to those who have not read the book , the film is a much better mother-daughter tale than last summer's 'divine secrets of the ya-ya sisterhood , ' but that's not saying much . ",pos
"returning aggressively to his formula of dimwitted comedy and even dimmer characters , sandler , who also executive produces , has made a film that makes previous vehicles look smart and sassy . ",neg
"i don't know precisely what to make of steven soderbergh's full frontal , though that didn't stop me from enjoying much of it . ",pos
"reggio falls victim to relying on the very digital technology that he fervently scorns , creating a meandering , inarticulate and ultimately disappointing film . ",neg
isn't it a bit early in his career for director barry sonnenfeld to do a homage to himself ? and it's a lousy one at that . ,neg
"a era do gelo diverte , mas não convence . É um passatempo descompromissado  e só . ",neg
an entertaining documentary that freshly considers arguments the bard's immortal plays were written by somebody else . ,pos
humor in i spy is so anemic . ,neg
zaidan's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight . ,neg
bennett's dramatization of her personal descent into post-breakup perdition has a morbid appeal that's tough to shake . ,pos
"its cast full of caffeinated comedy performances more than make up for its logical loopholes , which fly by so fast there's no time to think about them anyway . ",pos
it's like going to a house party and watching the host defend himself against a frothing ex-girlfriend . you don't want to call the cops . you want to call domino's . ,pos
"this is the sort of low-grade dreck that usually goes straight to video --with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes . ",neg
"though the film is static , its writer-director's heart is in the right place , his plea for democracy and civic action laudable . ",pos
"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution . ",neg
"unfortunately , a cast of competent performers from movies , television and the theater are cast adrift in various new york city locations with no unifying rhythm or visual style . ",neg
beautifully filmed and well acted . . . but admittedly problematic in its narrative specifics . ,neg
"ong chooses to present ah na's life as a slight , weightless fairy tale , whose most unpleasant details seem to melt away in the face of the character's blank-faced optimism . ",neg
" "" spider-man is better than any summer blockbuster we had to endure last summer , and hopefully , sets the tone for a summer of good stuff . if you're a comic fan , you can't miss it . if you're not , you'll still have a good time . "" ",pos
"a mild , reluctant , thumbs down . ",neg
"this wretchedly unfunny wannabe comedy is inane and awful - no doubt , it's the worst movie i've seen this summer . ",neg
disturbingly superficial in its approach to the material . ,neg
" . . . a weak , manipulative , pencil-thin story that is miraculously able to entertain anyway . ",pos
troubling and powerful . ,pos
hartley adds enough quirky and satirical touches in the screenplay to keep the film entertaining . ,pos
"it is most of the things costner movies are known for ; it's sanctimonious , self-righteous and so eager to earn our love that you want to slap it . ",neg
"elegant , mannered and teasing . ",pos
otto-sallies has a real filmmaker's eye . ,pos
both a detective story and a romance spiced with the intrigue of academic skullduggery and politics . ,pos
"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back . ",pos
"there is an almost poignant dimension to the way that every major stunt seagal's character . . . performs is shot from behind , as if it could fool us into thinking that we're not watching a double . ",neg
it's fairly self-aware in its dumbness . ,pos
"do you say "" hi "" to your lover when you wake up in the morning ? ",neg
"almost everything about the film is unsettling , from the preposterous hairpiece worn by lai's villainous father to the endless action sequences . ",neg
"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances . ",pos
good-looking but relentlessly lowbrow outing plays like clueless does south fork . ,neg
those with an interest in new or singular sorts of film experiences will find what time is it there ? well worth the time . ,pos
"an eloquent , reflective and beautifully acted meditation on both the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake . ",pos
"many went to see the attraction for the sole reason that it was hot outside and there was air conditioning inside , and i don't think that a . c . will help this movie one bit . ",pos
absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way . ,pos
"the whole is quite entertaining , but despite its virtues , there is an unsettled feeling to the film . ",pos
el crimen del padre amaro would likely be most effective if used as a tool to rally anti-catholic protestors . ,neg
es triste tener que decirles que lo único grato de la cinta es el cuerpo desnudo de la heather . . . ,neg
"an entertaining , if ultimately minor , thriller . ",pos
what's missing is what we call the 'wow' factor . ,neg
this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment . ,pos
"it's a rollicking adventure for you and all your mateys , regardless of their ages . ",pos
if you recognize zeus ( the dog from snatch ) it will make you wish you were at home watching that movie instead of in the theater watching this one . ,neg
"shreve's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera . ",neg
nearly every attempt at humor here is doa . ,neg
"washington overcomes the script's flaws and envelops the audience in his character's anguish , anger and frustration . ",pos
"if you're like me , a sucker for a good old fashion romance and someone who shamelessly loves to eat , then mostly martha offers all the perfect ingredients to more than satisfy your appetite . ",pos
there's something not entirely convincing about the quiet american . and that holds true for both the movie and the title character played by brendan fraser . ,neg
the fast runner' transports the viewer into an unusual space,pos
"twohy's a good yarn-spinner , and ultimately the story compels . ",pos
"as it abruptly crosscuts among the five friends , it fails to lend the characters' individual stories enough dramatic resonance to make us care about them . ",neg
this seductive tease of a thriller gets the job done . it's a scorcher . ,pos
"little more than a stylish exercise in revisionism whose point . . . is no doubt true , but serves as a rather thin moral to such a knowing fable . ",neg
gaghan . . . has thrown every suspenseful cliché in the book at this nonsensical story . ,neg
veterans of the dating wars will smirk uneasily at the film's nightmare versions of everyday sex-in-the-city misadventures . ,pos
all three women deliver remarkable performances . ,pos
everything is pegged into the groove of a new york dating comedy with 'issues' to simplify . ,neg
it's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,neg
"like edward norton in american history x , ryan gosling ( murder by numbers ) delivers a magnetic performance . ",pos
a prolonged extrusion of psychopathic pulp . ,neg
"director uwe boll and writer robert dean klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , cannot overcome blah characters . ",neg
"while howard's appreciation of brown and his writing is clearly well-meaning and sincere , the movie would be impossible to sit through were it not for the supporting cast . ",neg
"in a way , the film feels like a breath of fresh air , but only to those that allow it in . ",pos
it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke . ,pos
a momentary escape from the summer heat and the sedentary doldrums that set in at this time of year . ,neg
"a work of the utmost subtlety and perception , it marks the outstanding feature debut of writer-director eric byler , who understands the power of the implicit and the virtues of simplicity and economy . ",pos
"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? ",neg
"i believe silberling had the best intentions here , but he just doesn't have the restraint to fully realize them . ",neg
"interacting eyeball-to-eyeball and toe-to-toe , hopkins and norton are a winning combination -- but fiennes steals 'red dragon' right from under their noses . ",pos
"aptly named , this shimmering , beautifully costumed and filmed production doesn't work for me . ",neg
"the film is darkly atmospheric , with herrmann quietly suggesting the sadness and obsession beneath hearst's forced avuncular chortles . ",pos
roman polanski directs the pianist like a surgeon mends a broken heart ; very meticulously but without any passion . ,neg
"a small gem of a movie that defies classification and is as thought-provoking as it is funny , scary and sad . ",pos
"meandering and glacially paced , and often just plain dull . ",neg
ecks this one off your must-see list . ,neg
"as an actor's showcase , hart's war has much to recommend it , even if the top-billed willis is not the most impressive player . as a story of dramatic enlightenment , the screenplay by billy ray and terry george leaves something to be desired . ",neg
"the movie ends with outtakes in which most of the characters forget their lines and just utter 'uhhh , ' which is better than most of the writing in the movie . ",neg
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she's as morning-glory exuberant as she was in amélie . ",pos
"an entertaining , colorful , action-filled crime story with an intimate heart . ",pos
"while broomfield's film doesn't capture the effect of these tragic deaths on hip-hop culture , it succeeds as a powerful look at a failure of our justice system . ",pos
scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company . ,neg
i couldn't help but feel the wasted potential of this slapstick comedy . ,neg
the whole movie is simply a lazy exercise in bad filmmaking that asks you to not only suspend your disbelief but your intelligence as well . ,neg
"although purportedly a study in modern alienation , it's really little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out . ",neg
does anyone much think the central story of brendan behan is that he was a bisexual sweetheart before he took to drink ? ,neg
"occasionally funny , sometimes inspiring , often boring . ",neg
"kapur fails to give his audience a single character worth rooting for ( or worth rooting against , for that matter ) . ",neg
the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line . ,neg
more than makes up for its mawkish posing by offering rousing spates of genuine feeling . ,pos
"believes so fervently in humanity that it feels almost anachronistic , and it is too cute by half . but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us . ",pos
"at 90 minutes this movie is short , but it feels much longer . ",neg
"the soupy end result has the odd distinction of being playful without being fun , too . ",neg
"there is no psychology here , and no real narrative logic -- just a series of carefully choreographed atrocities , which become strangely impersonal and abstract . ",neg
"the reason we keep seeing the same movie with roughly the same people every year is because so many of us keep going and then , out of embarrassment or stupidity , not warning anyone . ",neg
"an empty exercise , a florid but ultimately vapid crime melodrama with lots of surface flash but little emotional resonance . ",neg
"the film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo . ",neg
"a pleasant and engaging enough sit , but in trying to have the best of both worlds it ends up falling short as a whole . ",neg
"so beautifully acted and directed , it's clear that washington most certainly has a new career ahead of him if he so chooses . ",pos
"it tends to remind one of a really solid woody allen film , with its excellent use of new york locales and sharp writing",pos
"overall , it's a very entertaining , thought-provoking film with a simple message : god is love . ",pos
"frailty isn't as gory or explicit . but in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing . ",pos
offers a persuasive look at a defeated but defiant nation in flux . ,pos
a thriller made from a completist's checklist rather than with a cultist's passion . ,pos
westfeldt and juergensen exude a chemistry and comfort level that's both saucy and endearing . ,pos
no screen fantasy-adventure in recent memory has the showmanship of clones' last 45 minutes . ,pos
"this ready-made midnight movie probably won't stand the cold light of day , but under the right conditions , it's goofy ( if not entirely wholesome ) fun . ",pos
fluffy and disposible . ,neg
"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both . ",pos
"implicitly acknowledges and celebrates the glorious chicanery and self-delusion of this most american of businesses , and for that reason it may be the most oddly honest hollywood document of all . ",pos
"christians sensitive to a reductionist view of their lord as a luv-spreading dr . feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic . ",neg
k 19 stays afloat as decent drama/action flick,pos
"by no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story . ",pos
"`martin lawrence live' is so self-pitying , i almost expected there to be a collection taken for the comedian at the end of the show . ",neg
it's a fun adventure movie for kids ( of all ages ) that like adventure . ,pos
"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",neg
even legends like alfred hitchcock and john huston occasionally directed trifles . . . so it's no surprise to see a world-class filmmaker like zhang yimou behind the camera for a yarn that's ultimately rather inconsequential . ,neg
"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder . ",neg
"[while the last metro] was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history . ",pos
"the acting is just fine , but there's not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff . ",neg
this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party . ,pos
"beautifully observed , miraculously unsentimental comedy-drama . ",pos
the film grows on you . and how . ,pos
"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters . ",pos
"a minor work yet there's no denying the potency of miller's strange , fleeting brew of hopeful perseverance and hopeless closure . ",pos
the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience . it has fun being grown up . ,pos
"while undercover brother is definitely one for the masses , it's also full of sharp , smart satire . ",pos
the film tries too hard to be funny and tries too hard to be hip . the end result is a film that's neither . ,neg
"although based on a real-life person , john , in the movie , is a rather dull person to be stuck with for two hours . ",neg
"as violent , profane and exploitative as the most offensive action flick you've ever seen . ",neg
"in its understanding , often funny way , it tells a story whose restatement is validated by the changing composition of the nation . ",pos
"well-nigh unendurable . . . though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull . ",neg
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all . ",pos
it's a bad thing when a movie has about as much substance as its end credits blooper reel . ,neg
what's next ? the porky's revenge : ultimate edition ? ,neg
ararat feels like a book report,neg
it's rare that a movie can be as intelligent as this one is in every regard except its storyline ; everything that's good is ultimately scuttled by a plot that's just too boring and obvious . ,neg
"below may not mark mr . twohy's emergence into the mainstream , but his promise remains undiminished . ",pos
the film has the uncanny ability to right itself precisely when you think it's in danger of going wrong . ,pos
"surprisingly , considering that baird is a former film editor , the movie is rather choppy . ",neg
"using a stock plot , about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ",pos
bond-inspired ? certainly . likely to have decades of life as a classic movie franchise ? let's hope not . ,neg
"it sounds sick and twisted , but the miracle of shainberg's film is that it truly is romance",pos
manages to show life in all of its banality when the intention is quite the opposite . ,neg
kudos to the most enchanting film of the year . ,pos
"it's fun , wispy , wise and surprisingly inoffensive for a film about a teen in love with his stepmom . ",pos
"light , cute and forgettable . ",pos
recalls quiet freak-outs like l'avventura and repulsion . ,pos
"what remains is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip . ",neg
exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza . ,pos
a plodding teen remake that's so mechanical you can smell the grease on the plot twists . ,neg
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough . ",pos
it's a coming-of-age story we've all seen bits of in other films -- but it's rarely been told with such affecting grace and cultural specificity . ,pos
even horror fans will most likely not find what they're seeking with trouble every day ; the movie lacks both thrills and humor . ,neg
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff . ",pos
it's so badly made on every level that i'm actually having a hard time believing people were paid to make it . ,neg
"blessed with immense physical prowess he may well be , but ahola is simply not an actor . and in truth , cruel as it may sound , he makes arnold schwarzenegger look like spencer tracy . ",neg
"it may scream low budget , but this charmer has a spirit that cannot be denied . ",pos
"cheap , vulgar dialogue and a plot that crawls along at a snail's pace . ",neg
just another combination of bad animation and mindless violence . . . lacking the slightest bit of wit or charm . ,neg
"mr . clooney , mr . kaufman and all their collaborators are entitled to take a deep bow for fashioning an engrossing entertainment out of an almost sure-fire prescription for a critical and commercial disaster . ",pos
a less-than-thrilling thriller . ,neg
"in between all the emotional seesawing , it's hard to figure the depth of these two literary figures , and even the times in which they lived . but they fascinate in their recklessness . ",pos
stirs potentially enticing ingredients into an uneasy blend of ghost and close encounters of the third kind . ,neg
a straight-shooting family film which awards animals the respect they've rarely been given . ,pos
"thrilling , provocative and darkly funny , this timely sci-fi mystery works on so many different levels that it not only invites , it demands repeated viewings . ",pos
"worthless , from its pseudo-rock-video opening to the idiocy of its last frames . ",neg
those of you who are not an eighth grade girl will most likely doze off during this one . ,neg
michael moore's latest documentary about america's thirst for violence is his best film yet . . . ,pos
i found the movie as divided against itself as the dysfunctional family it portrays . ,neg
"an amalgam of the fugitive , blade runner , and total recall , only without much energy or tension . ",neg
"a piece of mildly entertaining , inoffensive fluff that drifts aimlessly for 90 minutes before lodging in the cracks of that ever-growing category : unembarrassing but unmemorable . ",neg
there is a strong directorial stamp on every frame of this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye . ,pos
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away . ",pos
a gift to anyone who loves both dance and cinema,pos
"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists . ",pos
formula 51 has dulled your senses faster and deeper than any recreational drug on the market . ,neg
"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ",pos
"though only 60 minutes long , the film is packed with information and impressions . ",pos
"though writer/director bart freundlich's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of crudup's anchoring performance . ",pos
"is anyone else out there getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic hong kong action aesthetic ? ",neg
"the film's appeal has a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth . ",pos
puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman . ,pos
ferrara's strongest and most touching movie of recent years . ,pos
"no worse a film than breaking out , and breaking out was utterly charming . ",pos
"the film belongs to the marvelous verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",pos
a whimsical if predictable time-travel fable marred by a willful single-mindedness . ,neg
wishy-washy . ,neg
"delia , greta , and paula rank as three of the most multilayered and sympathetic female characters of the year . as each of them searches for their place in the world , miller digs into their very minds to find an unblinking , flawed humanity . ",pos
i can't remember the last time i saw a movie where i wanted so badly for the protagonist to fail . ,neg
"visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide treasure planet entirely and completely reimagine it . ",neg
"as teen movies go , "" orange county "" is a refreshing change",pos
the best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites . ,pos
"like a documentary version of fight club , shorn of social insight , intellectual pretension and cinematic interest . ",neg
"a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces . ",neg
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets [sci-fi] rehash . ",neg
"the picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came . ",pos
much of the movie's charm lies in the utter cuteness of stuart and margolo . their computer-animated faces are very expressive . ,pos
fans of behan's work and of irish movies in general will be rewarded by borstal boy . ,pos
"the photographer's show-don't-tell stance is admirable , but it can make him a problematic documentary subject . ",neg
somehow both wildly implausible and strangely conventional . ,neg
feral and uncomfortable . ,pos
"[morgan] , judd and franklin can't save the script , rooted in a novel by joseph finder , from some opportunism . ",neg
the best way to describe it is as a cross between paul thomas anderson's magnolia and david lynch's mulholland dr . ,pos
"though it runs 163 minutes , safe conduct is anything but languorous . it's packed to bursting with incident , and with scores of characters , some fictional , some from history . ",pos
"though jackson doesn't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees . ",pos
"evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes . ",pos
the script by david koepp is perfectly serviceable and because he gives the story some soul . . . he elevates the experience to a more mythic level . ,pos
its vision of that awkward age when sex threatens to overwhelm everything else is acute enough to make everyone who has been there squirm with recognition . ,pos
"it's consistently funny , in an irresistible junior-high way , and consistently free of any gag that would force you to give it a millisecond of thought . ",pos
"see clockstoppers if you have nothing better to do with 94 minutes . but be warned , you too may feel time has decided to stand still . or that the battery on your watch has died . ",neg
"we hate [madonna] within the film's first five minutes , and she lacks the skill or presence to regain any ground . ",neg
"good for a few unintentional laughs , "" extreme ops "" was obviously made for the "" xxx "" crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction . ",neg
surprisingly powerful and universal . ,pos
"nair's attention to detail creates an impeccable sense of place , while thurman and lewis give what can easily be considered career-best performances . ",pos
 . . . the implication is kissinger may have decided that  when it comes to truncheoning  it's better to give than to receive . ,pos
"here's my advice , kev . start reading your scripts before signing that dotted line . ",neg
"the film seems a dead weight . the lack of pace kills it , although , in a movie about cancer , this might be apt . ",neg
"so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists , but family fundamentals displays a rare gift for unflinching impartiality . ",pos
"my reaction in a word : disappointment . his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",neg
"a chance to see three splendid actors turn a larky chase movie into an emotionally satisfying exploration of the very human need to be somebody , and to belong to somebody . ",pos
"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go . ",neg
"when a movie has stuck around for this long , you know there's something there . it's that good . ",pos
"a charming , banter-filled comedy . . . one of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface . ",pos
"expect to be reminded of other , better films , especially seven , which director william malone slavishly copies . ",neg
simply and eloquently articulates the tangled feelings of particular new yorkers deeply touched by an unprecedented tragedy . ,pos
has it ever been possible to say that williams has truly inhabited a character ? it is now . ,pos
equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . ,neg
"shunji iwai's all about lily chou chou is a beautifully shot , but ultimately flawed film about growing up in japan . ",neg
"merely as a technical , logistical feat , russian ark marks a cinematic milestone . ",pos
"an ambitious , guilt-suffused melodrama crippled by poor casting . ",neg
"broomfield's style of journalism is hardly journalism at all , and even those with an avid interest in the subject will grow impatient . ",neg
the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material . ,neg
"there's real visual charge to the filmmaking , and a strong erotic spark to the most crucial lip-reading sequence . ",pos
the cast is uniformly excellent . . . but the film itself is merely mildly charming . ,neg
"as hugh grant says repeatedly throughout the movie , 'lovely ! brilliant ! '",pos
"filled with honest performances and exceptional detail , baran is a gentle film with dramatic punch , a haunting ode to humanity . ",pos
howard conjures the past via surrealist flourishes so overwrought you'd swear he just stepped out of a buñuel retrospective . ,neg
 . . . a fairly disposable yet still entertaining b picture . ,pos
the only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles  several of them . ,neg
"though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should . ",neg
"forget the misleading title , what's with the unexplained baboon cameo ? ",neg
"cockettes has the glorious , gaudy benefit of much stock footage of those days , featuring all manner of drag queen , bearded lady and lactating hippie . ",pos
"very solid , very watchable first feature for director peter sheridan",pos
lacks dramatic punch and depth . ,neg
"heartwarming here relies less on forced air than on petter næss' delicate , clever direction . . . and a wonderful , imaginative script by axel hellstenius . ",pos
"at best , cletis tout might inspire a trip to the video store -- in search of a better movie experience . ",neg
"a screenplay more ingeniously constructed than "" memento "" ",pos
an eccentric little comic/thriller deeply in love with its own quirky personality . ,neg
"fast and funny , an action cartoon that's suspenseful enough for older kids but not too scary for the school-age crowd . ",pos
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . ",neg
a sober and affecting chronicle of the leveling effect of loss . ,pos
full of the kind of obnoxious chitchat that only self-aware neurotics engage in . ,neg
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy ! ,pos
that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar . ,pos
"there are things to like about murder by numbers -- but , in the end , the disparate elements don't gel . ",neg
"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter . ",neg
"soul is what's lacking in every character in this movie and , subsequently , the movie itself . ",neg
"sensual , funny and , in the end , very touching . ",pos
a sad and rote exercise in milking a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title would imply . ,neg
an ironic speculation on democracy in a culture unaccustomed to it . ,pos
"broomfield reminds us that beneath the hype , the celebrity , the high life , the conspiracies and the mystery there were once a couple of bright young men -- promising , talented , charismatic and tragically doomed . ",pos
"moore provides an invaluable service by sparking debate and encouraging thought . better still , he does all of this , and more , while remaining one of the most savagely hilarious social critics this side of jonathan swift . ",pos
"preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment . ",pos
draggin' about dragons,neg
"the draw [for "" big bad love "" ] is a solid performance by arliss howard . ",pos
